name,category,season,popularity,support,machine,houseallegiance,learningCurve,license,website,functionality,image
Policy Map,Database with mapping functionality,On-campus / Off-campus via VPN,3,Yes,Web-based,Stokeworth,Beginner,Proprietary (Free for NYU),Unknown,"Data Discovery, Basic Visualization, Web Mapping, Thematic Maps",http://lgimages.s3.amazonaws.com/data/imagemanager/104706/policy_map_icon.png
Social Explorer,Database with mapping functionality,On-campus / Off-campus via VPN,5,Yes,Web-based,"Lannister, Baratheon",Beginner,Proprietary (Free for NYU),Faith of the Seven,"Data Discovery, Basic Visualization, Web Mapping, Thematic Maps",http://lgimages.s3.amazonaws.com/data/imagemanager/104706/social_explorer_icon.png
Geolytics,Database with mapping functionality,On-campus / Off-campus via VPN,3,Yes,Web-based,"Kingsguard, House Selmy, Targaryen",Intermediate,Proprietary (Free for NYU),Unknown,,http://www.geolytics.com/images/logo-bot.gif
Dev Info,Database with mapping functionality,Personal computer / NYU Labs,2,Limited,"Windows, Web-based",Stark,Beginner,Open Source (Free),Old Gods of the Forest,,http://www.devinfo.org/stock/themes/default/images/cust/logo.png
,,,,,,,,,,,
DH Press,Application / Library / Visualization tool,Personal computer / NYU Labs,3,Limited,Web-based,"Stark, Tully",Intermediate,Open Source (Free),Faith of the Seven,,http://lgimages.s3.amazonaws.com/data/imagemanager/104706/dh_press_icon.png
Leaflet,Application / Library / Visualization tool,Personal computer / NYU Labs,4,Limited,Web-based,Baratheon,Intermediate,Open Source (Free),R'hllor Lord of Light,,http://lgimages.s3.amazonaws.com/data/imagemanager/104706/leaflet_icon.png
Neatline,Application / Library / Visualization tool,Personal computer / NYU Labs,2,Limited,Web-based,Targaryen,Intermediate,Open Source (Free),Unknown,,http://lgimages.s3.amazonaws.com/data/imagemanager/104706/neatline_icon.png
Mapbox,Application / Library / Visualization tool,Personal computer / NYU Labs,2,No,Web-based,"Lannister, Payne",Intermediate,Proprietary (Free - basic),Unknown,,http://lgimages.s3.amazonaws.com/data/imagemanager/104706/mapbox_logo.png
Silk.co,Application / Library / Visualization tool,Personal computer / VCL / NYU Labs,2,No,Web-based,"Seaworth, Baratheon",Intermediate,Proprietary (Free for NYU),Unknown,Basic Visualization,https://static1.squarespace.com/static/5193ac7de4b0f3c8853ae813/5194e45be4b0dc6d4010952e/54367990e4b0b2542432843f/1412864185748/startup-silk+logo.png
Tableau Public,Application / Library / Visualization tool,Personal computer / VCL / NYU Labs,5,Limited,"Windows, Mac, Web-based",Baratheon,Intermediate,Proprietary (Free for NYU),R'hllor Lord of Light,"Basic Visualization, Advanced Visualization",http://lgimages.s3.amazonaws.com/data/imagemanager/104706/tableau_software_icon.png
Plot.ly,Application / Library / Visualization tool,Personal Computer,4,Limited,Web-based,,Intermediate,Proprietary (Free for NYU),,"Basic Visualization, Advanced Visualization",https://upload.wikimedia.org/wikipedia/commons/8/8a/Plotly_logo_for_digital_final_(6).png
